model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy,option_logits_logged,logit_A_sp,logit_B_sp,logit_C_sp,logit_D_sp,logit_A,logit_D,logit_C,logit_B
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,10,0,0,-1.2059329748153687,2.0758469104766846,1.0645235180854797,1.625,0.8566716313362122,1.172985553741455,0,-1.2059329748153687,0,0,0.0,0.0,True,20.25,15.8125,16.625,21.875,,10.4375,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,11,1,0,-9.745461463928223,-4.3106842041015625,1.9019129872322083,0.5,0.3926712521351874,0.7942068576812744,0,-9.745461463928223,0,0,0.0,0.0,True,20.125,16.0,19.625,16.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,12,1,1,-6.037777662277222,-5.8474907875061035,1.2693056464195251,0.125,-0.08729346096515656,0.18715626001358032,0,-6.037777662277222,0,0,0.0,0.0,True,21.375,19.75,19.0,21.25,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,13,1,0,0.6213080406188964,7.672812461853027,1.1800599530339242,0.125,0.5573286736384034,1.3356496095657349,0,0.6213080406188964,0,0,0.0,0.0,True,21.625,20.375,21.5,20.25,,,10.0,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,14,0,0,-9.9313325881958,-6.016439437866211,1.6262462139129639,0.625,-0.023690372705459595,0.3482791781425476,0,-9.9313325881958,0,0,0.0,0.0,True,22.625,22.0,19.0,21.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,15,0,1,-10.811704635620117,-5.797605514526367,2.299347460269928,0.75,-0.14024700224399567,0.25199612975120544,0,-10.811704635620117,0,0,0.0,0.0,True,18.0,15.0,16.375,17.25,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,16,0,0,-7.832858562469482,-3.951322555541992,1.6929723024368286,0.875,0.34008971974253654,0.568048357963562,0,-7.832858562469482,0,0,0.0,0.0,True,21.875,21.0,19.25,19.5,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,17,0,0,-10.239124536514282,-4.9489874839782715,1.9204689860343933,1.875,0.4606865681707859,0.9019556045532227,0,-10.239124536514282,0,0,0.0,0.0,True,20.875,18.0,18.625,18.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,18,1,1,-6.299826145172119,-5.590888977050781,1.1919655799865723,2.375,-0.062076643109321594,0.29726719856262207,0,-6.299826145172119,0,0,0.0,0.0,True,23.5,21.125,21.0,21.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,19,0,0,-7.332491159439087,-4.122146129608154,1.5276673436164856,0.125,0.06039181351661682,0.8242133855819702,0,-7.332491159439087,0,0,0.0,0.0,True,22.75,20.375,22.625,22.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,20,0,1,-9.650402545928955,-5.696381568908691,2.716947913169861,0.125,0.037254899740219116,0.18551772832870483,0,-9.650402545928955,0,0,0.0,0.0,True,17.875,15.875,14.6875,17.5,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,21,0,1,-6.309575796127319,-4.343027591705322,1.272963285446167,1.25,0.10437469184398651,0.3757080137729645,0,-6.309575796127319,0,0,0.0,0.0,True,22.25,20.125,18.625,21.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,22,1,0,0.2757733345031738,8.463676452636719,1.2953373192809523,0.5,0.48312982097268103,1.27505362033844,0,0.2757733345031738,0,0,0.0,0.0,True,21.125,19.375,20.625,20.25,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,23,1,0,-0.34711630476845634,9.873953819274902,0.7479247474111617,0.125,0.6496132649481297,1.8949068784713745,0,-0.34711630476845634,0,0,0.0,0.0,True,20.375,18.5,20.25,18.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,24,0,1,-2.295023560523987,1.180232286453247,0.8127564191818237,2.75,0.7616891860961914,0.8285190463066101,0,-2.295023560523987,0,0,0.0,0.0,True,19.875,19.625,23.5,20.75,,,10.375,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,25,0,1,-7.13262939453125,-4.616691589355469,1.2479271590709686,1.75,0.14273694530129433,0.21703441441059113,0,-7.13262939453125,0,0,0.0,0.0,True,22.0,17.75,18.5,20.25,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,26,0,0,-8.017143726348877,-4.897424697875977,1.5218696594238281,2.125,0.11803585849702358,0.2911316752433777,0,-8.017143726348877,0,0,0.0,0.0,True,21.375,19.25,18.625,18.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,27,0,0,-6.187036991119385,-5.095798015594482,0.8757336139678955,2.125,0.3780192583799362,1.157602071762085,0,-6.187036991119385,0,0,0.0,0.0,True,23.375,18.25,18.75,21.25,10.6875,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,28,0,0,-9.555742740631104,-4.550236701965332,2.0027632117271423,0.25,0.27116669714450836,0.7780600190162659,0,-9.555742740631104,0,0,0.0,0.0,True,19.5,19.0,19.25,19.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,29,0,0,-9.551875114440918,-5.047396659851074,1.6902822852134705,1.875,0.41646172595210373,0.8381427526473999,0,-9.551875114440918,0,0,0.0,0.0,True,21.125,16.5,17.5,17.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,30,0,0,-8.665934324264526,-4.892650127410889,1.2173925638198853,2.5,0.25712424516677856,0.733012855052948,0,-8.665934324264526,0,0,0.0,0.0,True,21.625,19.125,18.375,17.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,31,0,0,-7.348026752471924,-4.320531845092773,1.6243009567260742,0.25,0.3257266730070114,0.8845589756965637,0,-7.348026752471924,0,0,0.0,0.0,True,21.25,16.5,21.0,18.0,,,9.8125,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,32,0,0,-10.893437385559082,-5.811637878417969,2.0688437819480896,0.875,0.23858529329299927,0.7455557584762573,0,-10.893437385559082,0,0,0.0,0.0,True,19.25,15.75,17.5,18.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,33,0,0,-8.160780191421509,-5.9520344734191895,1.2348469495773315,1.75,0.3701482340693474,0.914002537727356,0,-8.160780191421509,0,0,0.0,0.0,True,22.75,21.0,19.75,20.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,34,0,0,-7.787219524383545,-5.869632720947266,1.1052977442741394,2.0,0.39534881711006165,0.9555871486663818,0,-7.787219524383545,0,0,0.0,0.0,True,21.75,19.75,16.875,18.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,35,1,0,-5.9519264698028564,-4.433798313140869,1.2699007987976074,2.125,0.3496166616678238,1.0134239196777344,0,-5.9519264698028564,0,0,0.0,0.0,True,22.375,18.5,20.25,18.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,36,0,0,-10.32867169380188,-5.6967597007751465,1.829786479473114,0.625,-0.21955281496047974,0.38438600301742554,0,-10.32867169380188,0,0,0.0,0.0,True,20.375,19.75,18.25,18.5,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,37,1,0,-8.253119945526123,-5.0583295822143555,1.1182620227336884,2.375,0.08849585056304932,0.8470329642295837,0,-8.253119945526123,0,0,0.0,0.0,True,22.25,18.375,17.75,19.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,38,0,0,-5.819279432296753,-4.106011390686035,0.9822109341621399,1.75,0.1561531126499176,1.1129974126815796,0,-5.819279432296753,0,0,0.0,0.0,True,22.5,18.125,17.875,20.75,10.75,10.3125,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,39,0,0,-7.175107955932617,-5.267254829406738,0.8342511653900146,3.625,0.1355544626712799,0.9698845744132996,0,-7.175107955932617,0,0,0.0,0.0,True,22.5,17.625,18.75,18.875,10.4375,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,40,0,1,-7.707599639892578,-5.131997108459473,1.3837448954582214,1.25,-0.1490963250398636,0.12786662578582764,0,-7.707599639892578,0,0,0.0,0.0,True,21.625,17.5,20.375,18.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,41,1,0,-9.562257289886475,-5.395556449890137,2.0258341431617737,1.5,0.37591904029250145,0.8310607075691223,0,-9.562257289886475,0,0,0.0,0.0,True,21.25,19.5,19.625,19.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,42,0,0,-8.725282907485962,-3.492213726043701,1.7320505380630493,0.625,0.38880446553230286,1.2719727754592896,0,-8.725282907485962,0,0,0.0,0.0,True,20.125,16.5,16.25,19.5,,9.4375,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,43,0,0,-7.526783466339111,-5.885867118835449,1.0185756981372833,3.125,0.2534225285053253,0.810954213142395,0,-7.526783466339111,0,0,0.0,0.0,True,22.5,19.375,17.0,18.75,10.125,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,44,0,1,-6.488928556442261,-5.7839131355285645,0.6235485225915909,5.0,0.09385325014591217,0.6443241834640503,0,-6.488928556442261,0,0,0.0,0.0,True,24.875,19.875,17.875,18.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,45,1,1,-2.098810613155365,1.5424939393997192,1.3593034148216248,0.5,-0.20919916406273842,-0.1066281870007515,0,-2.098810613155365,0,0,0.0,0.0,True,21.75,22.25,19.375,20.25,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,46,0,1,-0.5430221557617188,3.110757350921631,1.2218204140663147,0.375,0.3972112834453583,0.44384053349494934,0,-0.5430221557617188,0,0,0.0,0.0,True,21.875,18.75,20.5,22.25,,10.1875,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,47,0,0,-10.013533115386963,-5.520755767822266,1.7950741648674011,0.875,-0.22181832790374756,0.6481666564941406,0,-10.013533115386963,0,0,0.0,0.0,True,22.0,20.75,21.125,20.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,48,1,0,-5.6328699588775635,-4.180648326873779,0.8974770307540894,4.25,-0.09376882016658783,0.42758145928382874,0,-5.6328699588775635,0,0,0.0,0.0,True,22.75,16.625,15.875,15.75,10.5,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,49,0,1,-8.154300451278687,-7.617770671844482,1.3416419923305511,0.375,0.17890044674277306,0.36688461899757385,0,-8.154300451278687,0,0,0.0,0.0,True,22.0,20.75,20.625,21.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,50,1,0,-2.5018681287765503,0.5904281139373779,1.5203998982906342,0.25,0.6820214092731476,0.8331339359283447,0,-2.5018681287765503,0,0,0.0,0.0,True,20.5,18.875,19.0,20.75,,9.8125,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,51,0,0,-8.956701755523682,-4.572772026062012,1.8952122926712036,0.5,0.40123768150806427,0.6683186292648315,0,-8.956701755523682,0,0,0.0,0.0,True,20.5,20.0,17.5,18.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,52,0,1,-6.656673431396484,-6.082639694213867,1.1393571496009827,1.0,0.13199660181999207,0.5938219428062439,0,-6.656673431396484,0,0,0.0,0.0,True,22.625,17.375,17.375,21.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,53,1,0,0.4085201025009155,4.693215370178223,1.3142530918121338,0.75,0.6385039687156677,0.7214200496673584,0,0.4085201025009155,0,0,0.0,0.0,True,21.5,20.625,22.25,19.75,,,10.0625,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,54,1,0,-1.0830472707748413,2.569424867630005,1.1000400185585022,1.125,0.4411078542470932,0.6593199968338013,0,-1.0830472707748413,0,0,0.0,0.0,True,20.25,16.25,21.375,17.25,,,9.8125,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,55,1,0,-1.518292784690857,2.0964267253875732,1.5500307083129883,1.125,0.491350993514061,0.6801196932792664,0,-1.518292784690857,0,0,0.0,0.0,True,19.75,20.5,14.875,21.625,,10.9375,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,56,0,0,-7.418229341506958,-4.688248157501221,1.0509738326072693,2.375,0.5706579834222794,0.8333892226219177,0,-7.418229341506958,0,0,0.0,0.0,True,23.5,20.125,21.125,21.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,57,0,0,-1.8106059432029724,0.7925468683242798,1.8489100933074951,0.125,0.2990717738866806,0.6742841601371765,0,-1.8106059432029724,0,0,0.0,0.0,True,20.25,20.375,19.5,19.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,58,0,1,-2.5862930342555046,-0.20846806466579437,1.5643632411956787,0.125,0.21119224280118942,0.32173043489456177,0,-2.5862930342555046,0,0,0.0,0.0,True,19.0,19.125,18.0,18.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,59,0,0,-8.972501277923584,-4.902785301208496,1.919155776500702,0.625,0.1659107506275177,0.8331215977668762,0,-8.972501277923584,0,0,0.0,0.0,True,20.25,17.375,19.625,18.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,60,1,0,-7.629549741744995,-4.983816623687744,1.4506018161773682,0.625,0.20837581157684326,0.8853650093078613,0,-7.629549741744995,0,0,0.0,0.0,True,21.5,17.875,19.625,20.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,61,1,0,0.16644287109375,8.472317695617676,1.1082454390823842,1.625,0.40941488444805146,0.6853976845741272,0,0.16644287109375,0,0,0.0,0.0,True,21.75,19.625,19.375,20.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,62,0,1,-1.8024747371673584,1.5926861763000488,1.1545004844665527,0.625,-0.005335547029972076,0.18109220266342163,0,-1.8024747371673584,0,0,0.0,0.0,True,21.125,18.25,21.75,19.375,,,9.875,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,63,1,0,-5.9390435218811035,-4.316405773162842,1.2010506987571716,1.25,0.23930132389068604,0.6233177185058594,0,-5.9390435218811035,0,0,0.0,0.0,True,23.0,20.5,19.75,21.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,64,0,0,-6.922177314758301,-4.66557502746582,0.8468522429466248,2.625,0.08809825778007507,0.6199266910552979,0,-6.922177314758301,0,0,0.0,0.0,True,22.625,19.25,20.0,19.75,10.0,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,65,0,0,-12.320791244506836,-5.957304000854492,2.08259654045105,0.5,0.18699440360069275,0.7283079624176025,0,-12.320791244506836,0,0,0.0,0.0,True,20.125,18.25,18.0,19.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,66,1,0,-0.5011324882507324,4.881007194519043,0.9272594451904297,1.625,0.5068546533584595,0.7216024994850159,0,-0.5011324882507324,0,0,0.0,0.0,True,21.375,16.5,23.0,18.125,10.1875,,12.625,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,67,0,1,-3.2692220956087112,-0.0925237238407135,1.2470316886901855,0.375,-0.21911273524165154,-0.029678843915462494,0,-3.2692220956087112,0,0,0.0,0.0,True,21.625,22.0,17.625,21.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,68,1,0,-11.803242444992065,-4.763574123382568,1.8182237148284912,0.75,0.07798173278570175,0.346051424741745,0,-11.803242444992065,0,0,0.0,0.0,True,21.25,20.375,18.125,20.5,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,69,0,0,-11.063929080963135,-5.591578483581543,1.8808165788650513,0.75,0.4869702644646168,0.86992347240448,0,-11.063929080963135,0,0,0.0,0.0,True,21.75,18.625,20.375,21.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,70,1,0,-0.23576116561889648,8.4429931640625,1.4263130797073245,1.5,-0.14792795926332475,0.3666950762271881,0,-0.23576116561889648,0,0,0.0,0.0,True,21.5,18.625,18.75,20.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,71,1,0,-6.907930374145508,-4.715424537658691,1.5049810409545898,1.125,0.24725592136383057,1.1758276224136353,0,-6.907930374145508,0,0,0.0,0.0,True,22.0,18.5,20.375,20.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,72,0,1,-2.0579434037208557,1.4654039144515991,0.938986748456955,2.375,0.4961579144001007,0.6003423929214478,0,-2.0579434037208557,0,0,0.0,0.0,True,19.5,21.875,17.5,18.75,,,,9.4375
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,73,1,1,-6.228406190872192,-4.105625629425049,1.1307979822158813,1.375,0.5169102475047112,0.816930890083313,0,-6.228406190872192,0,0,0.0,0.0,True,22.75,18.375,21.375,19.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,74,0,0,-10.604678869247437,-5.965412616729736,1.298764169216156,2.125,-0.16422352194786072,0.8344569802284241,0,-10.604678869247437,0,0,0.0,0.0,True,22.375,20.25,19.5,18.5,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,75,0,1,-6.560547351837158,-4.930354118347168,1.1415791809558868,0.75,-0.027173906564712524,0.5083523392677307,0,-6.560547351837158,0,0,0.0,0.0,True,22.0,18.25,21.25,19.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,76,0,1,-2.059143513441086,0.7772007584571838,1.0554360151290894,2.25,0.1967332698404789,0.3074054419994354,0,-2.059143513441086,0,0,0.0,0.0,True,19.0,17.0,21.25,18.875,,,8.875,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,77,0,0,-7.697295188903809,-4.190018653869629,1.2756285071372986,2.25,0.6860565394163132,1.217775821685791,0,-7.697295188903809,0,0,0.0,0.0,True,23.125,17.75,17.875,20.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,78,0,0,-7.756769180297852,-4.641096115112305,1.297285795211792,1.875,0.1776881217956543,0.8029736876487732,0,-7.756769180297852,0,0,0.0,0.0,True,22.625,20.25,20.75,20.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,79,0,1,-8.517064332962036,-4.051915645599365,1.8774716258049011,1.25,0.33455761009827256,0.6817331910133362,0,-8.517064332962036,0,0,0.0,0.0,True,21.625,19.875,18.75,20.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,80,1,0,-9.109000205993652,-4.714116096496582,1.8270010948181152,0.125,0.3845042400062084,0.8754332661628723,0,-9.109000205993652,0,0,0.0,0.0,True,20.625,17.5,17.125,20.5,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,81,1,0,-8.807011127471924,-5.719764709472656,1.097446233034134,2.125,0.15276452898979187,0.9357417225837708,0,-8.807011127471924,0,0,0.0,0.0,True,22.875,18.875,18.125,20.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,82,1,1,-7.857786178588867,-6.088962554931641,0.970841109752655,1.5,-0.13995474576950073,0.38930219411849976,0,-7.857786178588867,0,0,0.0,0.0,True,23.25,18.25,18.5,21.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,83,0,0,-7.687413692474365,-5.478289604187012,1.2489908337593079,0.375,-0.06611570715904236,0.8209549188613892,0,-7.687413692474365,0,0,0.0,0.0,True,23.75,23.375,20.375,21.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,84,1,0,0.011922740936279297,9.540266990661621,1.261897529475391,0.75,0.18663577307015658,0.661126971244812,0,0.011922740936279297,0,0,0.0,0.0,True,21.125,20.375,18.25,18.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,85,0,0,-9.473870992660522,-5.2952399253845215,1.4547380805015564,1.375,0.10617506504058838,0.830081045627594,0,-9.473870992660522,0,0,0.0,0.0,True,22.375,21.0,19.375,20.25,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,86,1,1,-3.9329094886779785,-2.24833345413208,0.6925095319747925,4.375,-0.21095391362905502,0.06575430929660797,0,-3.9329094886779785,0,0,0.0,0.0,True,23.75,17.5,18.0,19.375,10.5,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,87,1,0,-1.2547307014465332,2.873615264892578,1.5325188040733337,0.25,0.4190497249364853,0.5624046325683594,0,-1.2547307014465332,0,0,0.0,0.0,True,20.625,21.375,21.125,21.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,88,0,1,-9.366972208023071,-4.758915424346924,1.9294368028640747,1.625,0.09114506840705872,0.8620031476020813,0,-9.366972208023071,0,0,0.0,0.0,True,20.625,16.875,19.0,18.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,89,0,0,-1.8537495583295822,0.26131120324134827,1.1328503787517548,0.375,0.7425605058670044,1.2343145608901978,0,-1.8537495583295822,0,0,0.0,0.0,True,21.0,16.75,21.375,19.125,,,10.0,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,90,1,0,1.172192931175232,5.442299842834473,1.3501613438129425,0.125,0.8260447978973389,1.0439794063568115,0,1.172192931175232,0,0,0.0,0.0,True,20.5,17.25,20.625,19.25,,,9.5625,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,91,1,0,-2.16031813621521,1.561783790588379,1.1594598889350891,2.0,0.24413445591926575,0.24836064875125885,0,-2.16031813621521,0,0,0.0,0.0,True,20.0,22.0,15.9375,17.375,,,,10.5
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,92,0,0,-8.952709436416626,-4.727087497711182,1.8360820412635803,0.875,0.10316646099090576,0.6335445046424866,0,-8.952709436416626,0,0,0.0,0.0,True,20.25,17.625,19.375,17.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,93,1,1,-0.998407244682312,3.355952024459839,1.379668951034546,1.375,-0.31211850279942155,-0.011259798891842365,0,-0.998407244682312,0,0,0.0,0.0,True,19.875,21.25,19.125,17.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,94,0,0,-3.3153498768806458,-1.018699288368225,1.9064998626708984,0.125,0.560228630900383,0.7120073437690735,0,-3.3153498768806458,0,0,0.0,0.0,True,19.875,20.0,19.5,18.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,95,0,0,-6.608951807022095,-5.094234943389893,1.0304841697216034,2.75,-0.2141369879245758,0.5178560018539429,0,-6.608951807022095,0,0,0.0,0.0,True,21.0,18.25,16.0,17.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,96,0,0,-9.469692945480347,-5.083220958709717,1.4133504629135132,0.375,-0.26054686307907104,0.5406831502914429,0,-9.469692945480347,0,0,0.0,0.0,True,23.25,22.875,21.75,21.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,97,0,0,-6.565327763557434,-3.739762544631958,1.0878596305847168,1.875,0.5993874967098236,1.5589081048965454,0,-6.565327763557434,0,0,0.0,0.0,True,23.5,21.125,18.5,21.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,98,0,0,-8.314175367355347,-5.40469217300415,1.8871808648109436,1.0,0.05836552381515503,0.7760084867477417,0,-8.314175367355347,0,0,0.0,0.0,True,21.0,19.125,20.0,18.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,99,1,0,-1.1389915943145752,2.0727620124816895,1.0673468708992004,1.875,0.8300308585166931,0.9265525937080383,0,-1.1389915943145752,0,0,0.0,0.0,True,19.0,15.125,20.875,16.0,,,10.8125,
DeepSeek-R1-Distill-Qwen-7B,0,medqa,0,0,1,-7.2544708251953125,-6.890044689178467,1.1587374210357666,1.25,-0.35012054443359375,0.2624025344848633,0,-7.2544708251953125,0,0,0.0,0.0,True,22.375,20.625,21.0,21.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,medqa,1,0,1,-7.4655656814575195,-5.373991966247559,1.6256625652313232,0.875,0.07924973405897617,0.19650208950042725,0,-7.4655656814575195,0,0,0.0,0.0,True,20.875,20.0,18.375,18.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,medqa,2,1,1,-5.610897779464722,-4.250279903411865,0.7276080846786499,4.625,0.11807367205619812,0.35773226618766785,0,-5.610897779464722,0,0,0.0,0.0,True,23.0,18.375,15.6875,17.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,medqa,3,0,1,-7.4805145263671875,-5.5135498046875,1.3108148574829102,1.75,0.3357452116906643,0.5480207204818726,0,-7.4805145263671875,0,0,0.0,0.0,True,22.375,19.5,19.75,20.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,medqa,4,0,1,-7.997800827026367,-5.851512908935547,1.2982991933822632,1.375,0.1474224328994751,0.5691177845001221,0,-7.997800827026367,0,0,0.0,0.0,True,23.375,22.0,20.5,21.25,,,,
